Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-09-11,Kingsman: The Secret Service,2014,https://boxd.it/3dqSFl,4,,,2022-09-11
2022-09-11,Sonic the Hedgehog,2020,https://boxd.it/3dqTA7,1.5,,,2022-09-11
2022-09-17,Everything Everywhere All at Once,2022,https://boxd.it/3eraFn,5,,,2022-09-16
2022-09-19,Alice in Wonderland,2010,https://boxd.it/3eUkZP,1,,,2022-09-18
2022-11-14,Turning Red,2022,https://boxd.it/3qBtXN,3,,friendos,2022-11-13
2022-11-24,Nope,2022,https://boxd.it/3sJOc3,4,,,2022-11-23
2022-11-25,Uncharted,2022,https://boxd.it/3sVqpr,3,,,2022-11-25
2022-11-27,The Silence of the Lambs,1991,https://boxd.it/3toZC9,5,,,2022-11-27
2022-11-28,Sorry to Bother You,2018,https://boxd.it/3tEaOl,5,Yes,rewatch,2022-11-27
2022-12-18,Avatar: The Way of Water,2022,https://boxd.it/3xOegN,3.5,,,2022-12-17
2022-12-18,Avatar,2009,https://boxd.it/3xOf3l,3.5,,,2022-12-17
2023-01-06,Pride & Prejudice,2005,https://boxd.it/3EmFl3,3.5,,,2023-01-05
2023-01-19,Puss in Boots: The Last Wish,2022,https://boxd.it/3J3TVB,4.5,,,2023-01-18
2023-02-12,GoodFellas,1990,https://boxd.it/3Qumtr,5,,,2023-02-11
2023-02-19,Whiplash,2014,https://boxd.it/3SmNV5,5,,,2023-02-18
2023-02-19,Minority Report,2002,https://boxd.it/3SmS7J,3.5,,,2023-02-18
2023-02-19,The Devil All the Time,2020,https://boxd.it/3SmXEt,3.5,,,2023-02-18
2023-02-19,The Imitation Game,2014,https://boxd.it/3Sn2jF,4,,,2023-02-18
2023-02-27,Popstar: Never Stop Never Stopping,2016,https://boxd.it/3UIwrf,4.5,,,2023-02-26
2023-03-02,Running,2022,https://boxd.it/3VyeKd,4.5,,,2023-03-01
2023-03-26,My Neighbor Totoro,1988,https://boxd.it/422fYT,5,,,2023-03-25
2023-04-18,The Super Mario Bros. Movie,2023,https://boxd.it/48pT6x,3.5,,,2023-04-17
2023-05-23,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4hxvBN,4.5,,,2023-05-23
2023-06-06,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4kYMiT,5,,,2023-06-05
2023-06-26,Zodiac,2007,https://boxd.it/4qsgQT,3.5,,,2023-06-25
2023-07-16,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/4wnRMD,3.5,,,2023-07-15
2023-07-24,Barbie,2023,https://boxd.it/4zkhi9,4,,,2023-07-23
2023-07-24,Oppenheimer,2023,https://boxd.it/4zkDxl,4.5,,,2023-07-23
2023-07-31,The Nice Guys,2016,https://boxd.it/4C7pLf,5,,,2023-07-30
2023-08-01,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/4CKCDL,4,,,2023-07-31
2023-08-02,Mulholland Drive,2001,https://boxd.it/4D2aOn,4,,1 a day,2023-08-01
2023-08-02,Zombieland,2009,https://boxd.it/4D8FtH,3.5,,,2023-08-01
2023-08-03,TÁR,2022,https://boxd.it/4DmJvP,4,,1 a day,2023-08-02
2023-08-04,The Banshees of Inisherin,2022,https://boxd.it/4DBqVp,4.5,,,2023-08-03
2023-08-05,Alien,1979,https://boxd.it/4DVXot,4.5,,,2023-08-04
2023-08-07,Ghost in the Shell,1995,https://boxd.it/4EAncX,4,,,2023-08-06
2023-08-07,John Wick,2014,https://boxd.it/4EJJBN,3,,,2023-08-06
2023-08-08,Bohemian Rhapsody,2018,https://boxd.it/4F8a4p,2.5,,,2023-08-07
2023-08-09,Arrival,2016,https://boxd.it/4FnyMv,4,,,2023-08-08
2023-08-11,Pulp Fiction,1994,https://boxd.it/4FY7Ej,4.5,,1 a day,2023-08-10
2023-08-12,Porco Rosso,1992,https://boxd.it/4Gdb87,5,,1 a day,2023-08-11
2023-08-12,Reservoir Dogs,1992,https://boxd.it/4Gq0fd,4,,1 a day,2023-08-12
2023-08-13,The Departed,2006,https://boxd.it/4GJXyh,3.5,,,2023-08-12
2023-08-14,The Bad Guys,2022,https://boxd.it/4GXr5F,3.5,,1 a day,2023-08-13
2023-08-16,Little Miss Sunshine,2006,https://boxd.it/4HFoSH,4.5,,,2023-08-15
2023-10-27,10 Things I Hate About You,1999,https://boxd.it/53PIel,4.5,,,2023-10-26
2023-12-06,Five Nights at Freddy's,2023,https://boxd.it/5h8ovL,2,,,2023-12-05
2023-12-06,Godzilla Minus One,2023,https://boxd.it/5h8vfb,5,,,2023-12-05
2023-12-06,8 Mile,2002,https://boxd.it/5hdJNV,3,,,2023-12-05
2023-12-13,Fight Club,1999,https://boxd.it/5jMnSd,4,,,2023-12-13
2023-12-14,Enola Holmes,2020,https://boxd.it/5k4o0d,1.5,,,2023-12-14
2023-12-17,Now You See Me,2013,https://boxd.it/5kUqiH,2,,,2023-12-16
2023-12-19,Get Out,2017,https://boxd.it/5lL3v5,4,,,2023-12-18
2024-01-05,Black Swan,2010,https://boxd.it/5uTmjf,4.5,,,2024-01-04
2024-01-06,May December,2023,https://boxd.it/5vhhyx,5,,,2024-01-05
2024-01-06,Marriage Story,2019,https://boxd.it/5vp7O7,4.5,,,2024-01-05
2024-01-07,Prisoners,2013,https://boxd.it/5w89Cn,3.5,,,2024-01-06
2024-01-07,Leave the World Behind,2023,https://boxd.it/5wf3G3,1.5,,,2024-01-06
2024-01-07,Mr. Harrigan's Phone,2022,https://boxd.it/5wquvN,0.5,,,2024-01-06
2024-01-08,El Camino: A Breaking Bad Movie,2019,https://boxd.it/5wWIlB,4,,,2024-01-07
2024-01-08,La La Land,2016,https://boxd.it/5xd3Vd,3.5,,,2024-01-07
2024-01-09,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/5xNE8T,2.5,,,2024-01-08
2024-01-10,School of Rock,2003,https://boxd.it/5yeMY3,3.5,,,2024-01-09
2024-01-10,John Wick: Chapter 4,2023,https://boxd.it/5yjWOH,4.5,,,2024-01-09
2024-01-12,Shutter Island,2010,https://boxd.it/5zdIE1,4.5,,,2024-01-11
2024-01-28,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/5HgYFR,2,,,2024-01-27
2024-01-28,Princess Mononoke,1997,https://boxd.it/5HFkBl,4,,,2024-01-27
2024-01-31,Citizen Kane,1941,https://boxd.it/5J82iH,4,,film 101,2024-01-30
2024-02-07,Out of Sight,1998,https://boxd.it/5MnYvh,3.5,,film 101,2024-02-06
2024-02-07,RRR,2022,https://boxd.it/5Mo5r7,4,,"w/ isabella, w/ annika",2024-02-06
2024-02-11,Black Swan,2010,https://boxd.it/5OcSDZ,4.5,Yes,"w/ annika, w/ isabella, w/ harley, w/ hamraj",2024-02-10
2024-02-13,May December,2023,https://boxd.it/5P2jYR,5,Yes,,2024-02-12
2024-02-13,Mystic River,2003,https://boxd.it/5P6PWr,2.5,,,2024-02-13
2024-02-14,Do the Right Thing,1989,https://boxd.it/5PwNr9,5,,film 101,2024-02-14
2024-02-15,Raising Arizona,1987,https://boxd.it/5PTCMB,5,,,2024-02-14
2024-02-20,Evil Dead II,1987,https://boxd.it/5Shxsd,4,,"w/ annika, w/ isabella, w/ hamraj, w/ harley, not sober",2024-02-18
2024-02-20,Lady Bird,2017,https://boxd.it/5SnRWp,3,,,2024-02-19
2024-02-21,Memento,2000,https://boxd.it/5SRsv9,4.5,Yes,film 101,2024-02-21
2024-02-25,Vivarium,2019,https://boxd.it/5Uw7Pj,1.5,,w/ mia,2024-02-24
2024-02-28,Raging Bull,1980,https://boxd.it/5W0HUj,4,,film 101,2024-02-28
2024-03-03,Dune,2021,https://boxd.it/5XBVFF,4.5,Yes,"w/ hamraj, w/ harley, w/ venkata",2024-03-02
2024-03-03,Dune: Part Two,2024,https://boxd.it/5XQT7r,5,,"w/ harley, w/ hamraj",2024-03-03
2024-03-07,Elvis,2022,https://boxd.it/5ZDnuZ,2,,,2024-03-06
2024-03-08,The Grand Budapest Hotel,2014,https://boxd.it/609nQb,5,Yes,"w/ hamraj, w/ harley, not sober",2024-03-08
2024-03-17,Oppenheimer,2023,https://boxd.it/643e0T,4.5,Yes,parents,2024-03-16
2024-03-21,Vertigo,1958,https://boxd.it/663gqn,5,,film 101,2024-03-20
2024-03-21,Looper,2012,https://boxd.it/663h4x,3,,w/ hamraj,2024-03-20
2024-03-21,The Conversation,1974,https://boxd.it/663hpP,4.5,,w/ hamraj,2024-03-20
2024-03-21,Oldboy,2003,https://boxd.it/663lhb,4,,,2024-03-20
2024-03-21,Full Metal Jacket,1987,https://boxd.it/667Lrf,5,,,2024-03-20
2024-03-21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/66fzYd,4,,,2024-03-20
2024-03-21,The Wonderful Story of Henry Sugar,2023,https://boxd.it/66fJAb,4,,,2024-03-21
2024-03-28,Back to the Future,1985,https://boxd.it/69cWLd,4.5,,film 101,2024-03-27
2024-04-04,Kill Bill: Vol. 1,2003,https://boxd.it/6cSplx,3.5,,,2024-04-03
2024-04-04,The Power of the Dog,2021,https://boxd.it/6cTIen,3,,film 101,2024-04-04
2024-04-11,In the Mood for Love,2000,https://boxd.it/6fBTvP,5,,film 101,2024-04-10
2024-04-11,Rashomon,1950,https://boxd.it/6fRaLP,5,,,2024-04-11
2024-04-16,Good Will Hunting,1997,https://boxd.it/6hLfMf,5,,,2024-04-15
2024-04-24,Capturing the Friedmans,2003,https://boxd.it/6kVoTB,3.5,,film 101,2024-04-23
2024-05-16,Good Will Hunting,1997,https://boxd.it/6tWli1,5,Yes,w/ peter,2024-05-15
2024-05-16,Everything Everywhere All at Once,2022,https://boxd.it/6tWm1v,5,Yes,w/ peter,2024-05-15
2024-05-28,The Equalizer,2014,https://boxd.it/6z0LgD,3.5,,,2024-05-28
2024-05-29,Anatomy of a Fall,2023,https://boxd.it/6zkzVz,4,,,2024-05-28
2024-05-29,The Lighthouse,2019,https://boxd.it/6zp2hB,5,,,2024-05-29
2024-06-03,Inside Man,2006,https://boxd.it/6BlMuB,5,,,2024-06-02
2024-06-04,Starship Troopers,1997,https://boxd.it/6BLbYh,4,,,2024-06-03
2024-06-06,No Country for Old Men,2007,https://boxd.it/6CArkJ,4.5,,w/ peter,2024-06-05
2024-06-08,The Holdovers,2023,https://boxd.it/6DmX2X,4,,w/ the parents,2024-06-08
2024-06-09,Dazed and Confused,1993,https://boxd.it/6DJe41,5,,w/ the parents,2024-06-08
2024-06-11,A Clockwork Orange,1971,https://boxd.it/6EAfCJ,4.5,,,2024-06-10
2024-06-23,Inside Out,2015,https://boxd.it/6Jlebn,3,Yes,,2024-06-23
2024-06-23,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/6JleFx,,Yes,,2024-06-23
2024-06-23,Star Wars,1977,https://boxd.it/6Jlg9X,4.5,Yes,"w/ carson, w/ jaelyn, w/ amelia",2024-06-23
2024-06-29,Heat,1995,https://boxd.it/6LBEyH,4.5,,w/ the parents,2024-06-28
2024-06-30,Apocalypse Now,1979,https://boxd.it/6M393T,4.5,,w/ the parents,2024-06-29
2024-07-15,Pan's Labyrinth,2006,https://boxd.it/6SqQvV,4.5,,,2024-07-13
2024-08-16,Taxi Driver,1976,https://boxd.it/76Tl6J,4,,,2024-08-15
2024-08-18,Godzilla Minus One,2023,https://boxd.it/77NfST,5,Yes,w/ the parents,2024-08-17
2024-08-18,Bottle Rocket,1996,https://boxd.it/77RCix,4,,,2024-08-18
2024-08-22,Bottoms,2023,https://boxd.it/79zoVR,4.5,,,2024-08-21
2024-08-22,10 Cloverfield Lane,2016,https://boxd.it/79CV4R,3,,,2024-08-21
2024-10-13,Porco Rosso,1992,https://boxd.it/7xdAWT,5,Yes,,2024-10-12
2024-12-10,Spectre,2015,https://boxd.it/80ZZOR,3,,,2024-12-09
2024-12-18,Donnie Darko,2001,https://boxd.it/85fMML,4.5,,solo dolo,2024-12-18
2024-12-20,Watchmen,2009,https://boxd.it/85XUUV,2,,solo dolo,2024-12-19
2024-12-20,Civil War,2024,https://boxd.it/860XJn,3,,,2024-12-19
2024-12-20,Train to Busan,2016,https://boxd.it/867Aeb,4.5,,solo dolo,2024-12-19
2024-12-21,The Wicker Man,1973,https://boxd.it/86uqi9,3.5,,,2024-12-20
2025-01-03,In the Mood for Love,2000,https://boxd.it/8hTgT9,5,Yes,fam,2025-01-02
2025-01-04,Batman Begins,2005,https://boxd.it/8iE01T,3,,,2025-01-03
2025-01-04,The Dark Knight,2008,https://boxd.it/8iExUR,5,,solo dolo,2025-01-03
2025-01-04,Gladiator,2000,https://boxd.it/8iFnJL,4,,,2025-01-03
2025-01-04,Gladiator II,2024,https://boxd.it/8iFASB,3.5,,"w/ amelia, theater",2025-01-03
2025-01-04,Blade Runner,1982,https://boxd.it/8iGPVR,4.5,,w/ the parents,2025-01-03
2025-01-05,Past Lives,2023,https://boxd.it/8k2cDH,5,,,2025-01-04
2025-01-07,Inception,2010,https://boxd.it/8lYtEd,3,,solo dolo,2025-01-06
2025-01-07,Call Me by Your Name,2017,https://boxd.it/8mbKrL,4.5,,,2025-01-06
2025-01-11,10 Things I Hate About You,1999,https://boxd.it/8qboUR,5,Yes,,2025-01-10
2025-01-27,Airplane!,1980,https://boxd.it/8D4oY3,4,,"w/ avi, w/ harley, w/ hamraj",2025-01-26
2025-01-27,Casino Royale,2006,https://boxd.it/8D4vNB,4.5,,,2025-01-26
2025-02-15,Raising Arizona,1987,https://boxd.it/8Q562J,5,Yes,,2025-02-15
2025-03-12,Mission: Impossible – Rogue Nation,2015,https://boxd.it/96nGQb,4,,fam,2025-03-12
2025-03-12,Blade Runner 2049,2017,https://boxd.it/96nLe7,5,,w/ the parents,2025-03-12
2025-05-14,The Royal Tenenbaums,2001,https://boxd.it/9GUiRf,4,,w/ amelia,2025-05-13
2025-06-05,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9TYSBH,3.5,,theater,2025-06-04
2025-06-14,Hot Tub Time Machine,2010,https://boxd.it/9ZXiLD,2,,,2025-06-14
2025-06-23,The Prestige,2006,https://boxd.it/a5Zc13,2.5,,airplane,2025-06-23
2025-06-23,Midnight in Paris,2011,https://boxd.it/a5ZhLP,4.5,,airplane,2025-06-23
2025-06-23,Mickey 17,2025,https://boxd.it/a5Zl1r,4.5,,,2025-06-23
2025-06-23,Now You See Me 2,2016,https://boxd.it/a5ZmQF,2.5,,,2025-06-23
2025-06-23,How to Train Your Dragon,2025,https://boxd.it/a5Zshh,,,theater,2025-06-23
2025-07-12,Nightcrawler,2014,https://boxd.it/aiOxBr,3,,,2025-07-12
2025-07-24,Juror #2,2024,https://boxd.it/arM1xz,2.5,,airplane,2025-07-23
2025-07-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/arMtLz,2.5,,airplane,2025-07-23
2025-07-24,Jurassic Park,1993,https://boxd.it/arMFX3,4.5,,airplane,2025-07-23
2025-07-26,Chungking Express,1994,https://boxd.it/atLiNv,5,,w/ the parents,2025-07-25
2025-07-30,12 Angry Men,1957,https://boxd.it/ax7UEn,4.5,,solo dolo,2025-07-29
2025-08-16,But I'm a Cheerleader,1999,https://boxd.it/aKo2bn,4.5,,,2025-08-15
2025-08-18,Airplane!,1980,https://boxd.it/aM5myB,4,Yes,,2025-08-17
2025-08-21,Weapons,2025,https://boxd.it/aO5KDX,4,,"w/ amelia, w/ annalise, w/ jaelyn, w/ eli",2025-08-20
2025-10-20,Soleil O,1970,https://boxd.it/bqJemn,4,,,2025-10-19
2025-11-11,2 or 3 Things I Know About Her,1967,https://boxd.it/bFZkLl,3.5,,film 101,2025-11-10
2025-11-28,Indiana Jones and the Temple of Doom,1984,https://boxd.it/bRxsqx,4,,,2025-11-27
2025-11-29,Superman,2025,https://boxd.it/bROES3,4,,,2025-11-28
2025-12-02,La Haine,1995,https://boxd.it/bUtVN5,5,,,2025-12-02
2025-12-04,The Wolf of Wall Street,2013,https://boxd.it/bVb7W5,3.5,,solo dolo,2025-12-03
2025-12-15,Wake Up Dead Man,2025,https://boxd.it/c3vkyn,5,,,2025-12-14
2025-12-20,Molly's Game,2017,https://boxd.it/c87VfT,2.5,,,2025-12-19
2025-12-23,Bridesmaids,2011,https://boxd.it/cbqtM1,3,,fam,2025-12-22
2025-12-24,Don't Worry Darling,2022,https://boxd.it/cc92Of,1,,,2025-12-23
2025-12-24,Perfect Blue,1997,https://boxd.it/ccfxXf,5,,,2025-12-23
2025-12-26,Primal Fear,1996,https://boxd.it/ce9Ziv,3,,,2025-12-25
2025-12-30,Nocturnal Animals,2016,https://boxd.it/cjxjqP,,,,2025-12-29
2025-12-30,Barbarian,2022,https://boxd.it/cjxnUp,4,,,2025-12-29
2025-12-30,The Killing of a Sacred Deer,2017,https://boxd.it/cjxrxT,,,,2025-12-29
2025-12-30,Five Nights at Freddy's 2,2025,https://boxd.it/cjOgqV,1,,,2025-12-29
2025-12-30,One Battle After Another,2025,https://boxd.it/cjOyXj,4.5,,"w/ amelia, w/ jaelyn",2025-12-29
2025-12-30,This Is Spinal Tap,1984,https://boxd.it/cjOKev,4,,w/ the parents,2025-12-29
2025-12-31,The Naked Gun,2025,https://boxd.it/ckhaFX,4,,,2025-12-30
2025-12-31,Interstellar,2014,https://boxd.it/ckWYAv,4,,fam,2025-12-30
2026-01-02,Fallen Angels,1995,https://boxd.it/cnoC89,5,,,2026-01-01
2026-01-02,When Harry Met Sally...,1989,https://boxd.it/cnx4YN,4.5,,,2026-01-02
2026-01-06,House,1977,https://boxd.it/ctFUoH,4,,w/ amelia,2026-01-05
2026-01-08,The Woman in Cabin 10,2025,https://boxd.it/cvNlkT,,,,2026-01-07
2026-01-08,Good Time,2017,https://boxd.it/cvNwwV,4,,,2026-01-07
2026-01-09,The Usual Suspects,1995,https://boxd.it/cwGFWj,3.5,,,2026-01-08
2026-01-09,Weapons,2025,https://boxd.it/cx6VCB,4,Yes,,2026-01-08
2026-01-09,Persona,1966,https://boxd.it/cxcZON,5,,,2026-01-08
2026-01-11,The Shawshank Redemption,1994,https://boxd.it/cyPNK7,4.5,,,2026-01-10
2026-01-19,Heretic,2024,https://boxd.it/cHL1Rn,,,,2026-01-18
2026-01-26,Bugonia,2025,https://boxd.it/cQ01b9,4,,,2026-01-26
2026-01-28,Train Dreams,2025,https://boxd.it/cRx7F5,4,,,2026-01-27
2026-01-29,Prospero's Books,1991,https://boxd.it/cSnH8l,,,,2026-01-28
2026-02-14,Hereditary,2018,https://boxd.it/d7praT,,,,2026-02-13
2026-02-28,Zoolander,2001,https://boxd.it/dkH7BD,4,Yes,,2026-02-27
2026-03-08,Fantastic Mr. Fox,2009,https://boxd.it/draphj,5,,,2026-03-07
2026-04-09,The Drama,2026,https://boxd.it/dTuOuJ,,,,2026-04-08
2026-04-19,The Silence of the Lambs,1991,https://boxd.it/e28g0H,5,Yes,"w/ avi, w/ evan, w/ ethan",2026-04-19
2026-04-19,Your Name.,2016,https://boxd.it/e28loz,4.5,Yes,w/ amelia,2026-04-19
2026-04-26,The Menu,2022,https://boxd.it/e7stV7,3.5,,w/ sam,2026-04-25
2026-05-02,Opus,2025,https://boxd.it/ebZshd,,,,2026-05-01
2026-05-02,Midsommar,2019,https://boxd.it/ecfZnv,3,,,2026-05-01
2026-05-02,Longlegs,2024,https://boxd.it/ecmhVH,3,,,2026-05-02
2026-05-03,The Descent,2005,https://boxd.it/ecUiRf,3,,,2026-05-02
2026-05-03,The Thing,1982,https://boxd.it/ecUmer,,,,2026-05-02
2026-06-03,Blue Velvet,1986,https://boxd.it/eCAUhN,4.5,,,2026-06-02
2026-06-16,Obsession,2025,https://boxd.it/eNQ5zR,4.5,,"w/ amelia, plaza, theater",2026-06-15
2026-07-14,Project Hail Mary,2026,https://boxd.it/feoOET,3.5,,,2026-07-14
2026-07-21,Anatomy of a Fall,2023,https://boxd.it/fl1gRV,5,Yes,,2026-07-20
2026-07-29,The Odyssey,2026,https://boxd.it/fvlxIB,4,,w/ amelia,2026-07-25
2026-07-29,Batman Begins,2005,https://boxd.it/fv5yWH,2.5,Yes,,2026-07-28
2026-07-29,Fantastic Mr. Fox,2009,https://boxd.it/fv5CLD,5,Yes,,2026-07-28
2026-07-29,Moonrise Kingdom,2012,https://boxd.it/fv61Qj,3.5,,,2026-07-28
2026-07-29,Glengarry Glen Ross,1992,https://boxd.it/fvjam9,4,,w/ the parents,2026-07-28
2026-08-01,The Bourne Identity,2002,https://boxd.it/fyHBN7,4,Yes,,2026-07-31
2026-08-01,Ronin,1998,https://boxd.it/fyHFvh,3.5,,,2026-07-31
